t,x=0.00,x=0.05,x=0.10,x=0.15,x=0.20,x=0.25,x=0.30,x=0.35,x=0.40,x=0.45,x=0.50,x=0.55,x=0.60,x=0.65,x=0.70,x=0.75,x=0.80,x=0.85,x=0.90,x=0.95,x=1.00
0.000000,0.00000000,0.20000000,0.40000000,0.60000000,0.80000000,1.00000000,0.90000000,0.80000000,0.70000000,0.60000000,0.50000000,0.60000000,0.70000000,0.80000000,0.90000000,1.00000000,0.80000000,0.60000000,0.40000000,0.20000000,0.00000000
0.001000,0.00000000,0.20000000,0.40000000,0.60000000,0.80000000,0.88000000,0.90000000,0.80000000,0.70000000,0.60000000,0.58000000,0.60000000,0.70000000,0.80000000,0.90000000,0.88000000,0.80000000,0.60000000,0.40000000,0.20000000,0.00000000
0.002000,0.00000000,0.20000000,0.40000000,0.60000000,0.75200000,0.85600000,0.85200000,0.80000000,0.70000000,0.63200000,0.59600000,0.63200000,0.70000000,0.80000000,0.85200000,0.85600000,0.75200000,0.60000000,0.40000000,0.20000000,0.00000000
0.003000,0.00000000,0.20000000,0.40000000,0.58080000,0.73280000,0.81280000,0.83280000,0.78080000,0.71280000,0.64480000,0.62480000,0.64480000,0.71280000,0.78080000,0.83280000,0.81280000,0.73280000,0.58080000,0.40000000,0.20000000,0.00000000
0.004000,0.00000000,0.20000000,0.39232000,0.56928000,0.70400000,0.78880000,0.80400000,0.77440000,0.71280000,0.66400000,0.64080000,0.66400000,0.71280000,0.77440000,0.80400000,0.78880000,0.70400000,0.56928000,0.39232000,0.20000000,0.00000000
0.005000,0.00000000,0.19692800,0.38617600,0.55238400,0.68403200,0.76096000,0.78608000,0.76160000,0.71792000,0.67424000,0.65936000,0.67424000,0.71792000,0.76160000,0.78608000,0.76096000,0.68403200,0.55238400,0.38617600,0.19692800,0.00000000
0.006000,0.00000000,0.19385600,0.37696000,0.53856000,0.66214400,0.74023680,0.76624000,0.75392000,0.71792000,0.68576000,0.67126400,0.68576000,0.71792000,0.75392000,0.76624000,0.74023680,0.66214400,0.53856000,0.37696000,0.19385600,0.00000000
0.007000,0.00000000,0.18955520,0.36835840,0.52335360,0.64394752,0.71940096,0.75091072,0.74444800,0.71945600,0.69282560,0.68286080,0.69282560,0.71945600,0.74444800,0.75091072,0.71940096,0.64394752,0.52335360,0.36835840,0.18955520,0.00000000
0.008000,0.00000000,0.18525440,0.35883520,0.50959309,0.62589133,0.70182349,0.73572173,0.73703629,0.71880064,0.69949184,0.69083264,0.69949184,0.71880064,0.73703629,0.73572173,0.70182349,0.62589133,0.50959309,0.35883520,0.18525440,0.00000000
0.009000,0.00000000,0.18058496,0.34970604,0.49580923,0.60974490,0.68500992,0.72268826,0.72921620,0.71837138,0.70375168,0.69776000,0.70375168,0.71837138,0.72921620,0.72268826,0.68500992,0.60974490,0.49580923,0.34970604,0.18058496,0.00000000
