t,x=0.00,x=0.05,x=0.10,x=0.15,x=0.20,x=0.25,x=0.30,x=0.35,x=0.40,x=0.45,x=0.50,x=0.55,x=0.60,x=0.65,x=0.70,x=0.75,x=0.80,x=0.85,x=0.90,x=0.95,x=1.00
0.000000,0.00000000,0.20000000,0.40000000,0.60000000,0.80000000,1.00000000,0.90000000,0.80000000,0.70000000,0.60000000,0.50000000,0.60000000,0.70000000,0.80000000,0.90000000,1.00000000,0.80000000,0.60000000,0.40000000,0.20000000,0.00000000
0.001000,0.00000000,0.19978766,0.39904447,0.59591244,0.78256150,0.92561429,0.88270282,0.79654841,0.70176500,0.61139411,0.54950849,0.61139411,0.70176500,0.79654841,0.88270282,0.92561429,0.78256150,0.59591244,0.39904447,0.19978766,0.00000000
0.002000,0.00000000,0.19912953,0.39661373,0.58802108,0.75970006,0.87422544,0.86027869,0.79027160,0.70457250,0.62589212,0.58345677,0.62589212,0.70457250,0.79027160,0.86027869,0.87422544,0.75970006,0.58802108,0.39661373,0.19912953,0.00000000
0.003000,0.00000000,0.19788229,0.39264646,0.57749249,0.73601702,0.83533395,0.83742214,0.78236896,0.70755919,0.64021614,0.60868316,0.64021614,0.70755919,0.78236896,0.83742214,0.83533395,0.73601702,0.57749249,0.39264646,0.19788229,0.00000000
0.004000,0.00000000,0.19600928,0.38733604,0.56538673,0.71317302,0.80384934,0.81581414,0.77375896,0.71017879,0.65314762,0.62844514,0.65314762,0.71017879,0.77375896,0.81581414,0.80384934,0.71317302,0.56538673,0.38733604,0.19600928,0.00000000
0.005000,0.00000000,0.19355404,0.38096998,0.55247076,0.69168164,0.77716405,0.79593322,0.76500010,0.71216983,0.66431714,0.64438825,0.66431714,0.71216983,0.76500010,0.79593322,0.77716405,0.69168164,0.55247076,0.38096998,0.19355404,0.00000000
0.006000,0.00000000,0.19060580,0.37384101,0.53925378,0.67162411,0.75385060,0.77779346,0.75638689,0.71344731,0.67370144,0.65741634,0.67370144,0.71344731,0.75638689,0.77779346,0.75385060,0.67162411,0.53925378,0.37384101,0.19060580,0.00000000
0.007000,0.00000000,0.18727161,0.36620772,0.52606063,0.65293067,0.73306712,0.76124487,0.74805114,0.71401802,0.68141168,0.66808094,0.68141168,0.71401802,0.74805114,0.76124487,0.73306712,0.65293067,0.52606063,0.36620772,0.18727161,0.00000000
0.008000,0.00000000,0.18365812,0.35828252,0.51309392,0.63548855,0.71427789,0.74609416,0.74003365,0.71392940,0.68760362,0.67675768,0.68760362,0.71392940,0.74003365,0.74609416,0.71427789,0.63548855,0.51309392,0.35828252,0.18365812,0.00000000
0.009000,0.00000000,0.17986169,0.35023232,0.50047744,0.61918134,0.69711720,0.73215134,0.73232846,0.71324262,0.69243982,0.68372752,0.69243982,0.71324262,0.73232846,0.73215134,0.69711720,0.61918134,0.50047744,0.35023232,0.17986169,0.00000000
0.010000,0.00000000,0.17596411,0.34218428,0.48828436,0.60390175,0.68132015,0.71924594,0.72490820,0.71201979,0.69607429,0.68921498,0.69607429,0.71201979,0.72490820,0.71924594,0.68132015,0.60390175,0.48828436,0.34218428,0.17596411,0.00000000
0.011000,0.00000000,0.17203180,0.33423281,0.47655516,0.58955449,0.66668569,0.70723073,0.71773776,0.71031871,0.69864698,0.69340698,0.69864698,0.71031871,0.71773776,0.70723073,0.66668569,0.58955449,0.47655516,0.33423281,0.17203180,0.00000000
0.012000,0.00000000,0.16811681,0.32644615,0.46530884,0.57605574,0.65305575,0.69598090,0.71078147,0.70819129,0.70028257,0.69646280,0.70028257,0.70819129,0.71078147,0.69598090,0.65305575,0.57605574,0.46530884,0.32644615,0.16811681,0.00000000
0.013000,0.00000000,0.16425868,0.31887205,0.45455017,0.56333161,0.64030275,0.68539141,0.70400634,0.70568347,0.70109104,0.69851979,0.70109104,0.70568347,0.70400634,0.68539141,0.64030275,0.56333161,0.45455017,0.31887205,0.16425868,0.00000000
0.014000,0.00000000,0.16048648,0.31154243,0.44427434,0.55131669,0.62832172,0.67537417,0.69738352,0.70283583,0.70116904,0.69969723,0.70116904,0.70283583,0.69738352,0.67537417,0.62832172,0.55131669,0.44427434,0.31154243,0.16048648,0.00000000
0.015000,0.00000000,0.15682073,0.30447710,0.43447013,0.53995262,0.61702494,0.66585531,0.69088854,0.69968432,0.70060133,0.70009905,0.70060133,0.69968432,0.69088854,0.66585531,0.61702494,0.53995262,0.43447013,0.30447710,0.15682073,0.00000000
0.016000,0.00000000,0.15327522,0.29768666,0.42512201,0.52918708,0.60633828,0.65677282,0.68450114,0.69626094,0.69946229,0.69981605,0.69946229,0.69626094,0.68450114,0.65677282,0.60633828,0.52918708,0.42512201,0.29768666,0.15327522,0.00000000
0.017000,0.00000000,0.14985842,0.29117484,0.41621172,0.51897286,0.59619846,0.64807452,0.67820482,0.69259432,0.69781728,0.69892770,0.69781728,0.69259432,0.67820482,0.64807452,0.59619846,0.51897286,0.41621172,0.29117484,0.14985842,0.00000000
0.018000,0.00000000,0.14657473,0.28494025,0.40771928,0.50926722,0.58655106,0.63971638,0.67198637,0.68871022,0.69572381,0.69750375,0.69572381,0.68871022,0.67198637,0.63971638,0.58655106,0.50926722,0.40771928,0.28494025,0.14657473,0.00000000
0.019000,0.00000000,0.14342547,0.27897776,0.39962383,0.50003129,0.57734891,0.63166115,0.66583532,0.68463189,0.69323265,0.69560548,0.69323265,0.68463189,0.66583532,0.63166115,0.57734891,0.50003129,0.39962383,0.27897776,0.14342547,0.00000000
0.020000,0.00000000,0.14040961,0.27327960,0.39190418,0.49122962,0.56855091,0.62387718,0.65974354,0.68038043,0.69038865,0.69328689,0.69038865,0.68038043,0.65974354,0.62387718,0.56855091,0.49122962,0.39190418,0.27327960,0.14040961,0.00000000
0.021000,0.00000000,0.13752449,0.26783615,0.38453921,0.48282984,0.56012102,0.61633749,0.65370474,0.67597498,0.68723162,0.69059566,0.68723162,0.67597498,0.65370474,0.61633749,0.56012102,0.48282984,0.38453921,0.26783615,0.13752449,0.00000000
0.022000,0.00000000,0.13476619,0.26263662,0.37750821,0.47480230,0.55202752,0.60901899,0.64771419,0.67143301,0.68379690,0.68757399,0.68379690,0.67143301,0.64771419,0.60901899,0.55202752,0.47480230,0.37750821,0.26263662,0.13476619,0.00000000
0.023000,0.00000000,0.13212998,0.25766947,0.37079106,0.46711980,0.54424231,0.60190181,0.64176838,0.66677042,0.68011600,0.68425933,0.68011600,0.66677042,0.64176838,0.60190181,0.54424231,0.46711980,0.37079106,0.25766947,0.13212998,0.00000000
0.024000,0.00000000,0.12961062,0.25292282,0.36436842,0.45975742,0.53674045,0.59496884,0.63586479,0.66200175,0.67621705,0.68068498,0.67621705,0.66200175,0.63586479,0.59496884,0.53674045,0.45975742,0.36436842,0.25292282,0.12961062,0.00000000
0.025000,0.00000000,0.12720251,0.24838474,0.35822178,0.45269223,0.52949968,0.58820521,0.63000166,0.65714028,0.67212524,0.67688065,0.67212524,0.65714028,0.63000166,0.58820521,0.52949968,0.45269223,0.35822178,0.24838474,0.12720251,0.00000000
0.026000,0.00000000,0.12489993,0.24404341,0.35233356,0.44590316,0.52250008,0.58159799,0.62417784,0.65219815,0.66786313,0.67287287,0.66786313,0.65219815,0.62417784,0.58159799,0.52250008,0.44590316,0.35233356,0.24404341,0.12489993,0.00000000
0.027000,0.00000000,0.12269714,0.23988728,0.34668712,0.43937084,0.51572375,0.57513586,0.61839265,0.64718646,0.66345104,0.66868539,0.66345104,0.64718646,0.61839265,0.57513586,0.51572375,0.43937084,0.34668712,0.23988728,0.12269714,0.00000000
0.028000,0.00000000,0.12058845,0.23590521,0.34126676,0.43307743,0.50915460,0.56880889,0.61264575,0.64211536,0.65890722,0.66433954,0.65890722,0.64211536,0.61264575,0.56880889,0.50915460,0.43307743,0.34126676,0.23590521,0.12058845,0.00000000
0.029000,0.00000000,0.11856836,0.23208647,0.33605776,0.42700654,0.50277808,0.56260830,0.60693707,0.63699414,0.65424815,0.65985448,0.65424815,0.63699414,0.60693707,0.56260830,0.50277808,0.42700654,0.33605776,0.23208647,0.11856836,0.00000000
0.030000,0.00000000,0.11663151,0.22842089,0.33104629,0.42114303,0.49658101,0.55652633,0.60126673,0.63183128,0.64948869,0.65524746,0.64948869,0.63183128,0.60126673,0.55652633,0.49658101,0.42114303,0.33104629,0.22842089,0.11663151,0.00000000
0.031000,0.00000000,0.11477278,0.22489876,0.32621944,0.41547300,0.49055147,0.55055606,0.59563499,0.62663455,0.64464230,0.65053405,0.64464230,0.62663455,0.59563499,0.55055606,0.49055147,0.41547300,0.32621944,0.22489876,0.11477278,0.00000000
0.032000,0.00000000,0.11298732,0.22151097,0.32156515,0.40998361,0.48467857,0.54469132,0.59004218,0.62141104,0.63972113,0.64572831,0.63972113,0.62141104,0.59004218,0.54469132,0.48467857,0.40998361,0.32156515,0.22151097,0.11298732,0.00000000
0.033000,0.00000000,0.11127049,0.21824891,0.31707218,0.40466303,0.47895245,0.53892655,0.58448872,0.61616723,0.63473622,0.64084294,0.63473622,0.61616723,0.58448872,0.53892655,0.47895245,0.40466303,0.31707218,0.21824891,0.11127049,0.00000000
0.034000,0.00000000,0.10961794,0.21510451,0.31273008,0.39950038,0.47336406,0.53325677,0.57897502,0.61090904,0.62969756,0.63588944,0.62969756,0.61090904,0.57897502,0.53325677,0.47336406,0.39950038,0.31273008,0.21510451,0.10961794,0.00000000
0.035000,0.00000000,0.10802557,0.21207021,0.30852912,0.39448561,0.46790516,0.52767747,0.57350153,0.60564185,0.62461422,0.63087823,0.62461422,0.60564185,0.57350153,0.52767747,0.46790516,0.39448561,0.30852912,0.21207021,0.10802557,0.00000000
0.036000,0.00000000,0.10648953,0.20913896,0.30446026,0.38960944,0.46256820,0.52218456,0.56806867,0.60037061,0.61949443,0.62581876,0.61949443,0.60037061,0.56806867,0.52218456,0.46256820,0.38960944,0.30446026,0.20913896,0.10648953,0.00000000
