t,x=0.00,x=0.01,x=0.02,x=0.03,x=0.04,x=0.05,x=0.06,x=0.07,x=0.08,x=0.09,x=0.10,x=0.11,x=0.12,x=0.13,x=0.14,x=0.15,x=0.16,x=0.17,x=0.18,x=0.19,x=0.20,x=0.21,x=0.22,x=0.23,x=0.24,x=0.25,x=0.26,x=0.27,x=0.28,x=0.29,x=0.30,x=0.31,x=0.32,x=0.33,x=0.34,x=0.35,x=0.36,x=0.37,x=0.38,x=0.39,x=0.40,x=0.41,x=0.42,x=0.43,x=0.44,x=0.45,x=0.46,x=0.47,x=0.48,x=0.49,x=0.50,x=0.51,x=0.52,x=0.53,x=0.54,x=0.55,x=0.56,x=0.57,x=0.58,x=0.59,x=0.60,x=0.61,x=0.62,x=0.63,x=0.64,x=0.65,x=0.66,x=0.67,x=0.68,x=0.69,x=0.70,x=0.71,x=0.72,x=0.73,x=0.74,x=0.75,x=0.76,x=0.77,x=0.78,x=0.79,x=0.80,x=0.81,x=0.82,x=0.83,x=0.84,x=0.85,x=0.86,x=0.87,x=0.88,x=0.89,x=0.90,x=0.91,x=0.92,x=0.93,x=0.94,x=0.95,x=0.96,x=0.97,x=0.98,x=0.99,x=1.00
0.000000,0.00000000,0.03141076,0.06279052,0.09410831,0.12533323,0.15643447,0.18738131,0.21814324,0.24868989,0.27899111,0.30901699,0.33873792,0.36812455,0.39714789,0.42577929,0.45399050,0.48175367,0.50904142,0.53582679,0.56208338,0.58778525,0.61290705,0.63742399,0.66131187,0.68454711,0.70710678,0.72896863,0.75011107,0.77051324,0.79015501,0.80901699,0.82708057,0.84432793,0.86074203,0.87630668,0.89100652,0.90482705,0.91775463,0.92977649,0.94088077,0.95105652,0.96029369,0.96858316,0.97591676,0.98228725,0.98768834,0.99211470,0.99556196,0.99802673,0.99950656,1.00000000,0.99950656,0.99802673,0.99556196,0.99211470,0.98768834,0.98228725,0.97591676,0.96858316,0.96029369,0.95105652,0.94088077,0.92977649,0.91775463,0.90482705,0.89100652,0.87630668,0.86074203,0.84432793,0.82708057,0.80901699,0.79015501,0.77051324,0.75011107,0.72896863,0.70710678,0.68454711,0.66131187,0.63742399,0.61290705,0.58778525,0.56208338,0.53582679,0.50904142,0.48175367,0.45399050,0.42577929,0.39714789,0.36812455,0.33873792,0.30901699,0.27899111,0.24868989,0.21814324,0.18738131,0.15643447,0.12533323,0.09410831,0.06279052,0.03141076,0.00000000
0.005000,-0.01570732,0.01570732,0.04710645,0.07845910,0.10973431,0.14090123,0.17192910,0.20278730,0.23344536,0.26387305,0.29404033,0.32391742,0.35347484,0.38268343,0.41151436,0.43993917,0.46792981,0.49545867,0.52249856,0.54902282,0.57500525,0.60042023,0.62524266,0.64944805,0.67301251,0.69591280,0.71812630,0.73963109,0.76040597,0.78043041,0.79968466,0.81814972,0.83580736,0.85264016,0.86863151,0.88376563,0.89802758,0.91140328,0.92387953,0.93544403,0.94608536,0.95579301,0.96455742,0.97236992,0.97922281,0.98510933,0.99002366,0.99396096,0.99691733,0.99888987,0.99987663,0.99987663,0.99888987,0.99691733,0.99396096,0.99002366,0.98510933,0.97922281,0.97236992,0.96455742,0.95579301,0.94608536,0.93544403,0.92387953,0.91140328,0.89802758,0.88376563,0.86863151,0.85264016,0.83580736,0.81814972,0.79968466,0.78043041,0.76040597,0.73963109,0.71812630,0.69591280,0.67301251,0.64944805,0.62524266,0.60042023,0.57500525,0.54902282,0.52249856,0.49545867,0.46792981,0.43993917,0.41151436,0.38268343,0.35347484,0.32391742,0.29404033,0.26387305,0.23344536,0.20278730,0.17192910,0.14090123,0.10973431,0.07845910,0.04710645,0.01570732
0.010000,-0.03141076,0.00000000,0.03141076,0.06279052,0.09410831,0.12533323,0.15643447,0.18738131,0.21814324,0.24868989,0.27899111,0.30901699,0.33873792,0.36812455,0.39714789,0.42577929,0.45399050,0.48175367,0.50904142,0.53582679,0.56208338,0.58778525,0.61290705,0.63742399,0.66131187,0.68454711,0.70710678,0.72896863,0.75011107,0.77051324,0.79015501,0.80901699,0.82708057,0.84432793,0.86074203,0.87630668,0.89100652,0.90482705,0.91775463,0.92977649,0.94088077,0.95105652,0.96029369,0.96858316,0.97591676,0.98228725,0.98768834,0.99211470,0.99556196,0.99802673,0.99950656,1.00000000,0.99950656,0.99802673,0.99556196,0.99211470,0.98768834,0.98228725,0.97591676,0.96858316,0.96029369,0.95105652,0.94088077,0.92977649,0.91775463,0.90482705,0.89100652,0.87630668,0.86074203,0.84432793,0.82708057,0.80901699,0.79015501,0.77051324,0.75011107,0.72896863,0.70710678,0.68454711,0.66131187,0.63742399,0.61290705,0.58778525,0.56208338,0.53582679,0.50904142,0.48175367,0.45399050,0.42577929,0.39714789,0.36812455,0.33873792,0.30901699,0.27899111,0.24868989,0.21814324,0.18738131,0.15643447,0.12533323,0.09410831,0.06279052,0.03141076
0.015000,-0.04710645,-0.01570732,0.01570732,0.04710645,0.07845910,0.10973431,0.14090123,0.17192910,0.20278730,0.23344536,0.26387305,0.29404033,0.32391742,0.35347484,0.38268343,0.41151436,0.43993917,0.46792981,0.49545867,0.52249856,0.54902282,0.57500525,0.60042023,0.62524266,0.64944805,0.67301251,0.69591280,0.71812630,0.73963109,0.76040597,0.78043041,0.79968466,0.81814972,0.83580736,0.85264016,0.86863151,0.88376563,0.89802758,0.91140328,0.92387953,0.93544403,0.94608536,0.95579301,0.96455742,0.97236992,0.97922281,0.98510933,0.99002366,0.99396096,0.99691733,0.99888987,0.99987663,0.99987663,0.99888987,0.99691733,0.99396096,0.99002366,0.98510933,0.97922281,0.97236992,0.96455742,0.95579301,0.94608536,0.93544403,0.92387953,0.91140328,0.89802758,0.88376563,0.86863151,0.85264016,0.83580736,0.81814972,0.79968466,0.78043041,0.76040597,0.73963109,0.71812630,0.69591280,0.67301251,0.64944805,0.62524266,0.60042023,0.57500525,0.54902282,0.52249856,0.49545867,0.46792981,0.43993917,0.41151436,0.38268343,0.35347484,0.32391742,0.29404033,0.26387305,0.23344536,0.20278730,0.17192910,0.14090123,0.10973431,0.07845910,0.04710645
0.020000,-0.06279052,-0.03141076,0.00000000,0.03141076,0.06279052,0.09410831,0.12533323,0.15643447,0.18738131,0.21814324,0.24868989,0.27899111,0.30901699,0.33873792,0.36812455,0.39714789,0.42577929,0.45399050,0.48175367,0.50904142,0.53582679,0.56208338,0.58778525,0.61290705,0.63742399,0.66131187,0.68454711,0.70710678,0.72896863,0.75011107,0.77051324,0.79015501,0.80901699,0.82708057,0.84432793,0.86074203,0.87630668,0.89100652,0.90482705,0.91775463,0.92977649,0.94088077,0.95105652,0.96029369,0.96858316,0.97591676,0.98228725,0.98768834,0.99211470,0.99556196,0.99802673,0.99950656,1.00000000,0.99950656,0.99802673,0.99556196,0.99211470,0.98768834,0.98228725,0.97591676,0.96858316,0.96029369,0.95105652,0.94088077,0.92977649,0.91775463,0.90482705,0.89100652,0.87630668,0.86074203,0.84432793,0.82708057,0.80901699,0.79015501,0.77051324,0.75011107,0.72896863,0.70710678,0.68454711,0.66131187,0.63742399,0.61290705,0.58778525,0.56208338,0.53582679,0.50904142,0.48175367,0.45399050,0.42577929,0.39714789,0.36812455,0.33873792,0.30901699,0.27899111,0.24868989,0.21814324,0.18738131,0.15643447,0.12533323,0.09410831,0.06279052
0.025000,-0.07845910,-0.04710645,-0.01570732,0.01570732,0.04710645,0.07845910,0.10973431,0.14090123,0.17192910,0.20278730,0.23344536,0.26387305,0.29404033,0.32391742,0.35347484,0.38268343,0.41151436,0.43993917,0.46792981,0.49545867,0.52249856,0.54902282,0.57500525,0.60042023,0.62524266,0.64944805,0.67301251,0.69591280,0.71812630,0.73963109,0.76040597,0.78043041,0.79968466,0.81814972,0.83580736,0.85264016,0.86863151,0.88376563,0.89802758,0.91140328,0.92387953,0.93544403,0.94608536,0.95579301,0.96455742,0.97236992,0.97922281,0.98510933,0.99002366,0.99396096,0.99691733,0.99888987,0.99987663,0.99987663,0.99888987,0.99691733,0.99396096,0.99002366,0.98510933,0.97922281,0.97236992,0.96455742,0.95579301,0.94608536,0.93544403,0.92387953,0.91140328,0.89802758,0.88376563,0.86863151,0.85264016,0.83580736,0.81814972,0.79968466,0.78043041,0.76040597,0.73963109,0.71812630,0.69591280,0.67301251,0.64944805,0.62524266,0.60042023,0.57500525,0.54902282,0.52249856,0.49545867,0.46792981,0.43993917,0.41151436,0.38268343,0.35347484,0.32391742,0.29404033,0.26387305,0.23344536,0.20278730,0.17192910,0.14090123,0.10973431,0.07845910
0.030000,-0.09410831,-0.06279052,-0.03141076,0.00000000,0.03141076,0.06279052,0.09410831,0.12533323,0.15643447,0.18738131,0.21814324,0.24868989,0.27899111,0.30901699,0.33873792,0.36812455,0.39714789,0.42577929,0.45399050,0.48175367,0.50904142,0.53582679,0.56208338,0.58778525,0.61290705,0.63742399,0.66131187,0.68454711,0.70710678,0.72896863,0.75011107,0.77051324,0.79015501,0.80901699,0.82708057,0.84432793,0.86074203,0.87630668,0.89100652,0.90482705,0.91775463,0.92977649,0.94088077,0.95105652,0.96029369,0.96858316,0.97591676,0.98228725,0.98768834,0.99211470,0.99556196,0.99802673,0.99950656,1.00000000,0.99950656,0.99802673,0.99556196,0.99211470,0.98768834,0.98228725,0.97591676,0.96858316,0.96029369,0.95105652,0.94088077,0.92977649,0.91775463,0.90482705,0.89100652,0.87630668,0.86074203,0.84432793,0.82708057,0.80901699,0.79015501,0.77051324,0.75011107,0.72896863,0.70710678,0.68454711,0.66131187,0.63742399,0.61290705,0.58778525,0.56208338,0.53582679,0.50904142,0.48175367,0.45399050,0.42577929,0.39714789,0.36812455,0.33873792,0.30901699,0.27899111,0.24868989,0.21814324,0.18738131,0.15643447,0.12533323,0.09410831
0.035000,-0.10973431,-0.07845910,-0.04710645,-0.01570732,0.01570732,0.04710645,0.07845910,0.10973431,0.14090123,0.17192910,0.20278730,0.23344536,0.26387305,0.29404033,0.32391742,0.35347484,0.38268343,0.41151436,0.43993917,0.46792981,0.49545867,0.52249856,0.54902282,0.57500525,0.60042023,0.62524266,0.64944805,0.67301251,0.69591280,0.71812630,0.73963109,0.76040597,0.78043041,0.79968466,0.81814972,0.83580736,0.85264016,0.86863151,0.88376563,0.89802758,0.91140328,0.92387953,0.93544403,0.94608536,0.95579301,0.96455742,0.97236992,0.97922281,0.98510933,0.99002366,0.99396096,0.99691733,0.99888987,0.99987663,0.99987663,0.99888987,0.99691733,0.99396096,0.99002366,0.98510933,0.97922281,0.97236992,0.96455742,0.95579301,0.94608536,0.93544403,0.92387953,0.91140328,0.89802758,0.88376563,0.86863151,0.85264016,0.83580736,0.81814972,0.79968466,0.78043041,0.76040597,0.73963109,0.71812630,0.69591280,0.67301251,0.64944805,0.62524266,0.60042023,0.57500525,0.54902282,0.52249856,0.49545867,0.46792981,0.43993917,0.41151436,0.38268343,0.35347484,0.32391742,0.29404033,0.26387305,0.23344536,0.20278730,0.17192910,0.14090123,0.10973431
0.040000,-0.12533323,-0.09410831,-0.06279052,-0.03141076,0.00000000,0.03141076,0.06279052,0.09410831,0.12533323,0.15643447,0.18738131,0.21814324,0.24868989,0.27899111,0.30901699,0.33873792,0.36812455,0.39714789,0.42577929,0.45399050,0.48175367,0.50904142,0.53582679,0.56208338,0.58778525,0.61290705,0.63742399,0.66131187,0.68454711,0.70710678,0.72896863,0.75011107,0.77051324,0.79015501,0.80901699,0.82708057,0.84432793,0.86074203,0.87630668,0.89100652,0.90482705,0.91775463,0.92977649,0.94088077,0.95105652,0.96029369,0.96858316,0.97591676,0.98228725,0.98768834,0.99211470,0.99556196,0.99802673,0.99950656,1.00000000,0.99950656,0.99802673,0.99556196,0.99211470,0.98768834,0.98228725,0.97591676,0.96858316,0.96029369,0.95105652,0.94088077,0.92977649,0.91775463,0.90482705,0.89100652,0.87630668,0.86074203,0.84432793,0.82708057,0.80901699,0.79015501,0.77051324,0.75011107,0.72896863,0.70710678,0.68454711,0.66131187,0.63742399,0.61290705,0.58778525,0.56208338,0.53582679,0.50904142,0.48175367,0.45399050,0.42577929,0.39714789,0.36812455,0.33873792,0.30901699,0.27899111,0.24868989,0.21814324,0.18738131,0.15643447,0.12533323
0.045000,-0.14090123,-0.10973431,-0.07845910,-0.04710645,-0.01570732,0.01570732,0.04710645,0.07845910,0.10973431,0.14090123,0.17192910,0.20278730,0.23344536,0.26387305,0.29404033,0.32391742,0.35347484,0.38268343,0.41151436,0.43993917,0.46792981,0.49545867,0.52249856,0.54902282,0.57500525,0.60042023,0.62524266,0.64944805,0.67301251,0.69591280,0.71812630,0.73963109,0.76040597,0.78043041,0.79968466,0.81814972,0.83580736,0.85264016,0.86863151,0.88376563,0.89802758,0.91140328,0.92387953,0.93544403,0.94608536,0.95579301,0.96455742,0.97236992,0.97922281,0.98510933,0.99002366,0.99396096,0.99691733,0.99888987,0.99987663,0.99987663,0.99888987,0.99691733,0.99396096,0.99002366,0.98510933,0.97922281,0.97236992,0.96455742,0.95579301,0.94608536,0.93544403,0.92387953,0.91140328,0.89802758,0.88376563,0.86863151,0.85264016,0.83580736,0.81814972,0.79968466,0.78043041,0.76040597,0.73963109,0.71812630,0.69591280,0.67301251,0.64944805,0.62524266,0.60042023,0.57500525,0.54902282,0.52249856,0.49545867,0.46792981,0.43993917,0.41151436,0.38268343,0.35347484,0.32391742,0.29404033,0.26387305,0.23344536,0.20278730,0.17192910,0.14090123
