t,x=0.00,x=0.01,x=0.02,x=0.03,x=0.04,x=0.05,x=0.06,x=0.07,x=0.08,x=0.09,x=0.10,x=0.11,x=0.12,x=0.13,x=0.14,x=0.15,x=0.16,x=0.17,x=0.18,x=0.19,x=0.20,x=0.21,x=0.22,x=0.23,x=0.24,x=0.25,x=0.26,x=0.27,x=0.28,x=0.29,x=0.30,x=0.31,x=0.32,x=0.33,x=0.34,x=0.35,x=0.36,x=0.37,x=0.38,x=0.39,x=0.40,x=0.41,x=0.42,x=0.43,x=0.44,x=0.45,x=0.46,x=0.47,x=0.48,x=0.49,x=0.50,x=0.51,x=0.52,x=0.53,x=0.54,x=0.55,x=0.56,x=0.57,x=0.58,x=0.59,x=0.60,x=0.61,x=0.62,x=0.63,x=0.64,x=0.65,x=0.66,x=0.67,x=0.68,x=0.69,x=0.70,x=0.71,x=0.72,x=0.73,x=0.74,x=0.75,x=0.76,x=0.77,x=0.78,x=0.79,x=0.80,x=0.81,x=0.82,x=0.83,x=0.84,x=0.85,x=0.86,x=0.87,x=0.88,x=0.89,x=0.90,x=0.91,x=0.92,x=0.93,x=0.94,x=0.95,x=0.96,x=0.97,x=0.98,x=0.99,x=1.00
0.000000,0.00000000,0.03141076,0.06279052,0.09410831,0.12533323,0.15643447,0.18738131,0.21814324,0.24868989,0.27899111,0.30901699,0.33873792,0.36812455,0.39714789,0.42577929,0.45399050,0.48175367,0.50904142,0.53582679,0.56208338,0.58778525,0.61290705,0.63742399,0.66131187,0.68454711,0.70710678,0.72896863,0.75011107,0.77051324,0.79015501,0.80901699,0.82708057,0.84432793,0.86074203,0.87630668,0.89100652,0.90482705,0.91775463,0.92977649,0.94088077,0.95105652,0.96029369,0.96858316,0.97591676,0.98228725,0.98768834,0.99211470,0.99556196,0.99802673,0.99950656,1.00000000,0.99950656,0.99802673,0.99556196,0.99211470,0.98768834,0.98228725,0.97591676,0.96858316,0.96029369,0.95105652,0.94088077,0.92977649,0.91775463,0.90482705,0.89100652,0.87630668,0.86074203,0.84432793,0.82708057,0.80901699,0.79015501,0.77051324,0.75011107,0.72896863,0.70710678,0.68454711,0.66131187,0.63742399,0.61290705,0.58778525,0.56208338,0.53582679,0.50904142,0.48175367,0.45399050,0.42577929,0.39714789,0.36812455,0.33873792,0.30901699,0.27899111,0.24868989,0.21814324,0.18738131,0.15643447,0.12533323,0.09410831,0.06279052,0.03141076,0.00000000
0.005000,0.00785390,0.03925982,0.07062699,0.10192446,0.13312134,0.16418685,0.19509032,0.22580127,0.25628937,0.28652455,0.31647697,0.34611706,0.37541557,0.40434360,0.43287258,0.46097437,0.48862124,0.51578590,0.54244154,0.56856185,0.59412106,0.61909395,0.64345586,0.66718277,0.69025124,0.71263852,0.73432251,0.75528181,0.77549574,0.79494435,0.81360845,0.83146961,0.84851021,0.86471344,0.88006330,0.89454464,0.90814317,0.92084548,0.93263902,0.94351216,0.95345417,0.96245524,0.97050647,0.97759994,0.98372863,0.98888650,0.99306846,0.99627038,0.99848910,0.99972243,0.99996916,0.99922904,0.99750280,0.99479214,0.99109975,0.98642926,0.98078528,0.97417339,0.96660010,0.95807290,0.94860019,0.93819134,0.92685660,0.91460716,0.90145512,0.88741345,0.87249601,0.85671752,0.84009355,0.82264052,0.80437564,0.78531693,0.76548321,0.74489406,0.72356978,0.70153143,0.67880075,0.65540017,0.63135280,0.60668235,0.58141318,0.55557023,0.52917900,0.50226553,0.47485639,0.44697862,0.41865974,0.38992769,0.36081083,0.33133789,0.30153796,0.27144045,0.24107506,0.21047176,0.17966075,0.14867243,0.11753740,0.08628637,0.05495018,0.02355976,-0.00785390
0.010000,0.01570732,0.04710645,0.07845910,0.10973431,0.14090123,0.17192910,0.20278730,0.23344536,0.26387305,0.29404033,0.32391742,0.35347484,0.38268343,0.41151436,0.43993917,0.46792981,0.49545867,0.52249856,0.54902282,0.57500525,0.60042023,0.62524266,0.64944805,0.67301251,0.69591280,0.71812630,0.73963109,0.76040597,0.78043041,0.79968466,0.81814972,0.83580736,0.85264016,0.86863151,0.88376563,0.89802758,0.91140328,0.92387953,0.93544403,0.94608536,0.95579301,0.96455742,0.97236992,0.97922281,0.98510933,0.99002366,0.99396096,0.99691733,0.99888987,0.99987663,0.99987663,0.99888987,0.99691733,0.99396096,0.99002366,0.98510933,0.97922281,0.97236992,0.96455742,0.95579301,0.94608536,0.93544403,0.92387953,0.91140328,0.89802758,0.88376563,0.86863151,0.85264016,0.83580736,0.81814972,0.79968466,0.78043041,0.76040597,0.73963109,0.71812630,0.69591280,0.67301251,0.64944805,0.62524266,0.60042023,0.57500525,0.54902282,0.52249856,0.49545867,0.46792981,0.43993917,0.41151436,0.38268343,0.35347484,0.32391742,0.29404033,0.26387305,0.23344536,0.20278730,0.17192910,0.14090123,0.10973431,0.07845910,0.04710645,0.01570732,-0.01570732
0.015000,0.02355976,0.05495018,0.08628637,0.11753740,0.14867243,0.17966075,0.21047176,0.24107506,0.27144045,0.30153796,0.33133789,0.36081083,0.38992769,0.41865974,0.44697862,0.47485639,0.50226553,0.52917900,0.55557023,0.58141318,0.60668235,0.63135280,0.65540017,0.67880075,0.70153143,0.72356978,0.74489406,0.76548321,0.78531693,0.80437564,0.82264052,0.84009355,0.85671752,0.87249601,0.88741345,0.90145512,0.91460716,0.92685660,0.93819134,0.94860019,0.95807290,0.96660010,0.97417339,0.98078528,0.98642926,0.99109975,0.99479214,0.99750280,0.99922904,0.99996916,0.99972243,0.99848910,0.99627038,0.99306846,0.98888650,0.98372863,0.97759994,0.97050647,0.96245524,0.95345417,0.94351216,0.93263902,0.92084548,0.90814317,0.89454464,0.88006330,0.86471344,0.84851021,0.83146961,0.81360845,0.79494435,0.77549574,0.75528181,0.73432251,0.71263852,0.69025124,0.66718277,0.64345586,0.61909395,0.59412106,0.56856185,0.54244154,0.51578590,0.48862124,0.46097437,0.43287258,0.40434360,0.37541557,0.34611706,0.31647697,0.28652455,0.25628937,0.22580127,0.19509032,0.16418685,0.13312134,0.10192446,0.07062699,0.03925982,0.00785390,-0.02355976
0.020000,0.03141076,0.06279052,0.09410831,0.12533323,0.15643447,0.18738131,0.21814324,0.24868989,0.27899111,0.30901699,0.33873792,0.36812455,0.39714789,0.42577929,0.45399050,0.48175367,0.50904142,0.53582679,0.56208338,0.58778525,0.61290705,0.63742399,0.66131187,0.68454711,0.70710678,0.72896863,0.75011107,0.77051324,0.79015501,0.80901699,0.82708057,0.84432793,0.86074203,0.87630668,0.89100652,0.90482705,0.91775463,0.92977649,0.94088077,0.95105652,0.96029369,0.96858316,0.97591676,0.98228725,0.98768834,0.99211470,0.99556196,0.99802673,0.99950656,1.00000000,0.99950656,0.99802673,0.99556196,0.99211470,0.98768834,0.98228725,0.97591676,0.96858316,0.96029369,0.95105652,0.94088077,0.92977649,0.91775463,0.90482705,0.89100652,0.87630668,0.86074203,0.84432793,0.82708057,0.80901699,0.79015501,0.77051324,0.75011107,0.72896863,0.70710678,0.68454711,0.66131187,0.63742399,0.61290705,0.58778525,0.56208338,0.53582679,0.50904142,0.48175367,0.45399050,0.42577929,0.39714789,0.36812455,0.33873792,0.30901699,0.27899111,0.24868989,0.21814324,0.18738131,0.15643447,0.12533323,0.09410831,0.06279052,0.03141076,0.00000000,-0.03141076
0.025000,0.03925982,0.07062699,0.10192446,0.13312134,0.16418685,0.19509032,0.22580127,0.25628937,0.28652455,0.31647697,0.34611706,0.37541557,0.40434360,0.43287258,0.46097437,0.48862124,0.51578590,0.54244154,0.56856185,0.59412106,0.61909395,0.64345586,0.66718277,0.69025124,0.71263852,0.73432251,0.75528181,0.77549574,0.79494435,0.81360845,0.83146961,0.84851021,0.86471344,0.88006330,0.89454464,0.90814317,0.92084548,0.93263902,0.94351216,0.95345417,0.96245524,0.97050647,0.97759994,0.98372863,0.98888650,0.99306846,0.99627038,0.99848910,0.99972243,0.99996916,0.99922904,0.99750280,0.99479214,0.99109975,0.98642926,0.98078528,0.97417339,0.96660010,0.95807290,0.94860019,0.93819134,0.92685660,0.91460716,0.90145512,0.88741345,0.87249601,0.85671752,0.84009355,0.82264052,0.80437564,0.78531693,0.76548321,0.74489406,0.72356978,0.70153143,0.67880075,0.65540017,0.63135280,0.60668235,0.58141318,0.55557023,0.52917900,0.50226553,0.47485639,0.44697862,0.41865974,0.38992769,0.36081083,0.33133789,0.30153796,0.27144045,0.24107506,0.21047176,0.17966075,0.14867243,0.11753740,0.08628637,0.05495018,0.02355976,-0.00785390,-0.03925982
0.030000,0.04710645,0.07845910,0.10973431,0.14090123,0.17192910,0.20278730,0.23344536,0.26387305,0.29404033,0.32391742,0.35347484,0.38268343,0.41151436,0.43993917,0.46792981,0.49545867,0.52249856,0.54902282,0.57500525,0.60042023,0.62524266,0.64944805,0.67301251,0.69591280,0.71812630,0.73963109,0.76040597,0.78043041,0.79968466,0.81814972,0.83580736,0.85264016,0.86863151,0.88376563,0.89802758,0.91140328,0.92387953,0.93544403,0.94608536,0.95579301,0.96455742,0.97236992,0.97922281,0.98510933,0.99002366,0.99396096,0.99691733,0.99888987,0.99987663,0.99987663,0.99888987,0.99691733,0.99396096,0.99002366,0.98510933,0.97922281,0.97236992,0.96455742,0.95579301,0.94608536,0.93544403,0.92387953,0.91140328,0.89802758,0.88376563,0.86863151,0.85264016,0.83580736,0.81814972,0.79968466,0.78043041,0.76040597,0.73963109,0.71812630,0.69591280,0.67301251,0.64944805,0.62524266,0.60042023,0.57500525,0.54902282,0.52249856,0.49545867,0.46792981,0.43993917,0.41151436,0.38268343,0.35347484,0.32391742,0.29404033,0.26387305,0.23344536,0.20278730,0.17192910,0.14090123,0.10973431,0.07845910,0.04710645,0.01570732,-0.01570732,-0.04710645
0.035000,0.05495018,0.08628637,0.11753740,0.14867243,0.17966075,0.21047176,0.24107506,0.27144045,0.30153796,0.33133789,0.36081083,0.38992769,0.41865974,0.44697862,0.47485639,0.50226553,0.52917900,0.55557023,0.58141318,0.60668235,0.63135280,0.65540017,0.67880075,0.70153143,0.72356978,0.74489406,0.76548321,0.78531693,0.80437564,0.82264052,0.84009355,0.85671752,0.87249601,0.88741345,0.90145512,0.91460716,0.92685660,0.93819134,0.94860019,0.95807290,0.96660010,0.97417339,0.98078528,0.98642926,0.99109975,0.99479214,0.99750280,0.99922904,0.99996916,0.99972243,0.99848910,0.99627038,0.99306846,0.98888650,0.98372863,0.97759994,0.97050647,0.96245524,0.95345417,0.94351216,0.93263902,0.92084548,0.90814317,0.89454464,0.88006330,0.86471344,0.84851021,0.83146961,0.81360845,0.79494435,0.77549574,0.75528181,0.73432251,0.71263852,0.69025124,0.66718277,0.64345586,0.61909395,0.59412106,0.56856185,0.54244154,0.51578590,0.48862124,0.46097437,0.43287258,0.40434360,0.37541557,0.34611706,0.31647697,0.28652455,0.25628937,0.22580127,0.19509032,0.16418685,0.13312134,0.10192446,0.07062699,0.03925982,0.00785390,-0.02355976,-0.05495018
0.040000,0.06279052,0.09410831,0.12533323,0.15643447,0.18738131,0.21814324,0.24868989,0.27899111,0.30901699,0.33873792,0.36812455,0.39714789,0.42577929,0.45399050,0.48175367,0.50904142,0.53582679,0.56208338,0.58778525,0.61290705,0.63742399,0.66131187,0.68454711,0.70710678,0.72896863,0.75011107,0.77051324,0.79015501,0.80901699,0.82708057,0.84432793,0.86074203,0.87630668,0.89100652,0.90482705,0.91775463,0.92977649,0.94088077,0.95105652,0.96029369,0.96858316,0.97591676,0.98228725,0.98768834,0.99211470,0.99556196,0.99802673,0.99950656,1.00000000,0.99950656,0.99802673,0.99556196,0.99211470,0.98768834,0.98228725,0.97591676,0.96858316,0.96029369,0.95105652,0.94088077,0.92977649,0.91775463,0.90482705,0.89100652,0.87630668,0.86074203,0.84432793,0.82708057,0.80901699,0.79015501,0.77051324,0.75011107,0.72896863,0.70710678,0.68454711,0.66131187,0.63742399,0.61290705,0.58778525,0.56208338,0.53582679,0.50904142,0.48175367,0.45399050,0.42577929,0.39714789,0.36812455,0.33873792,0.30901699,0.27899111,0.24868989,0.21814324,0.18738131,0.15643447,0.12533323,0.09410831,0.06279052,0.03141076,0.00000000,-0.03141076,-0.06279052
0.045000,0.07062699,0.10192446,0.13312134,0.16418685,0.19509032,0.22580127,0.25628937,0.28652455,0.31647697,0.34611706,0.37541557,0.40434360,0.43287258,0.46097437,0.48862124,0.51578590,0.54244154,0.56856185,0.59412106,0.61909395,0.64345586,0.66718277,0.69025124,0.71263852,0.73432251,0.75528181,0.77549574,0.79494435,0.81360845,0.83146961,0.84851021,0.86471344,0.88006330,0.89454464,0.90814317,0.92084548,0.93263902,0.94351216,0.95345417,0.96245524,0.97050647,0.97759994,0.98372863,0.98888650,0.99306846,0.99627038,0.99848910,0.99972243,0.99996916,0.99922904,0.99750280,0.99479214,0.99109975,0.98642926,0.98078528,0.97417339,0.96660010,0.95807290,0.94860019,0.93819134,0.92685660,0.91460716,0.90145512,0.88741345,0.87249601,0.85671752,0.84009355,0.82264052,0.80437564,0.78531693,0.76548321,0.74489406,0.72356978,0.70153143,0.67880075,0.65540017,0.63135280,0.60668235,0.58141318,0.55557023,0.52917900,0.50226553,0.47485639,0.44697862,0.41865974,0.38992769,0.36081083,0.33133789,0.30153796,0.27144045,0.24107506,0.21047176,0.17966075,0.14867243,0.11753740,0.08628637,0.05495018,0.02355976,-0.00785390,-0.03925982,-0.07062699
